hydrogen_capex_multiplier,crossover_diesel_cost_pure_usd_per_mwh,crossover_diesel_cost_resilience_usd_per_mwh
0.3,216.37211095430942,182.30135779217417
0.35,227.93487375138952,193.86412058925427
0.4,239.4976365484696,205.42688338633437
0.45,251.06039934554968,216.98964618341446
0.5,262.6231621426298,228.55240898049456
0.55,274.1859249397098,240.11517177757463
0.6,285.7486877367899,251.67793457465473
0.65,297.31145053386996,263.2406973717348
0.7,308.87421333095006,274.80346016881487
0.75,320.43697612803015,286.36622296589496
0.8,331.99973892511025,297.928985762975
0.85,343.5625017221904,309.4917485600551
0.9,355.1252645192705,321.0545113571352
0.95,366.68802731635054,332.61727415421535
1.0,378.25079011343064,344.18003695129545
1.05,389.81355291051074,355.7427997483755
1.1,401.37631570759083,367.3055625454556
1.15,412.93907850467093,378.8683253425357
1.2,424.5018413017512,390.4310881396159
