portfolio,operating_point,grid_forming_source,disturbance,selected_hour,op_timestamp,initial_load_mw,initial_pv_mw,initial_diesel_mw,initial_fc_mw,initial_bat_net_mw,initial_elz_mw,h_eq_s,d_eq_mw_per_hz,disturbance_magnitude_mw,freq_nadir_hz,rocof_hz_per_s,rocof_500ms_hz_per_s,steady_state_freq_offset_hz,ss_offset_analytic_hz,settling_time_s,peak_source_ramp_mw_per_s,regime,pass_nadir,pass_rocof_islanded_2hz,pass_rocof_mainland_1hz,pass_settling,overall_pass,critical_load_mw,critical_load_ride_through_ok
battery_only,op1_evening_peak,battery_inverter,load_step,2364,2025-04-09 12:00,1.65,-0.0,0.0,0.0,1.65,0.0,1.3333,0.0495,0.165,49.7077,1.875,0.4195,-0.1775,-0.1775,0.47,0.6967,primary_adequate,True,True,False,True,PASS,,
battery_only,op2_active_gen,battery_inverter,load_step,5141,2025-08-03 05:00,1.0115,3.2115,0.0,0.0,-2.2,0.0,1.3333,0.03035,0.1012,49.8157,1.1494,0.2664,-0.1111,-0.1111,0.42,0.4365,primary_adequate,True,True,False,True,PASS,,
battery_only,op2_active_gen,battery_inverter,pv_ramp,5141,2025-08-03 05:00,1.0115,3.2115,0.0,0.0,-2.2,0.0,1.3333,0.03035,1.6058,48.1065,1.4634,1.1135,-1.7639,-1.7639,2.31,0.9967,secondary_control_dependent,,True,False,True,n.a. (secondary),,
diesel_battery,op1_evening_peak,diesel_genset,load_step,2364,2025-04-09 12:00,1.65,-0.0,1.65,0.0,0.0,0.0,2.9091,0.0495,0.165,49.7647,0.8594,0.4707,-0.0892,-0.0892,1.06,0.287,primary_adequate,True,True,True,True,PASS,,
diesel_battery,op1_evening_peak,battery_inverter,diesel_trip,2364,2025-04-09 12:00,1.65,-0.0,1.65,0.0,0.0,0.0,0.9091,0.0495,1.65,45.856,27.5,5.9075,-2.5404,-2.5404,1.39,6.7871,secondary_control_dependent,,False,False,True,n.a. (secondary),0.9075,True
diesel_battery,op2_active_gen,diesel_genset,load_step,2364,2025-04-09 12:00,1.65,-0.0,1.65,0.0,0.0,0.0,2.9091,0.0495,0.165,49.7647,0.8594,0.4707,-0.0892,-0.0892,1.06,0.287,primary_adequate,True,True,True,True,PASS,,
diesel_battery,op2_active_gen,battery_inverter,diesel_trip,2364,2025-04-09 12:00,1.65,-0.0,1.65,0.0,0.0,0.0,0.9091,0.0495,1.65,45.856,27.5,5.9075,-2.5404,-2.5404,1.39,6.7871,secondary_control_dependent,,False,False,True,n.a. (secondary),0.9075,True
battery_hydrogen,op1_evening_peak,battery_inverter,load_step,2364,2025-04-09 12:00,1.65,-0.0,0.0,1.2727600000000003,0.3772399999999995,0.0,1.2121,0.0495,0.165,49.6895,2.0625,0.4072,-0.1042,-0.1042,1.46,0.6839,primary_adequate,True,False,False,True,FAIL,,
battery_hydrogen,op2_active_gen,battery_inverter,load_step,6892,2025-10-15 04:00,1.081,8.081,0.0,0.0,-2.0,5.0,1.2121,0.03243,0.1081,49.8558,1.3513,0.1143,-0.0523,-0.0523,0.33,0.3659,primary_adequate,True,True,False,True,PASS,,
battery_hydrogen,op2_active_gen,battery_inverter,pv_ramp,6892,2025-10-15 04:00,1.081,8.081,0.0,0.0,-2.0,5.0,1.2121,0.03243,4.0405,47.106,2.6949,1.8064,-1.9561,-1.9559,10.84,1.4233,secondary_control_dependent,,False,False,True,n.a. (secondary),,
