delivered_diesel_cost_usd_per_mwh,db_total_annual_cost_usd,bh_total_annual_cost_usd,delta_cost_usd,carbon_price_usd_per_t
100.0,2155122.5389927113,3962313.434599798,1807190.8956070868,150.0
150.0,2479863.916163712,3962313.434599798,1482449.5184360864,150.0
200.0,2804605.2933347113,3962313.434599798,1157708.1412650868,150.0
250.0,3129346.6705057113,3962313.434599798,832966.7640940868,150.0
300.0,3454088.047676712,3962313.434599798,508225.38692308636,150.0
350.0,3778829.4248477113,3962313.434599798,183484.00975208683,150.0
400.0,4103570.8020187113,3962313.434599798,-141257.36741891317,150.0
450.0,4428312.179189711,3962313.434599798,-465998.7445899127,150.0
500.0,4753053.556360711,3962313.434599798,-790740.1217609132,150.0
550.0,5077794.933531712,3962313.434599798,-1115481.4989319136,150.0
600.0,5402536.310702711,3962313.434599798,-1440222.8761029132,150.0
650.0,5727277.687873712,3962313.434599798,-1764964.2532739136,150.0
700.0,6052019.065044711,3962313.434599798,-2089705.6304449132,150.0
750.0,6376760.442215712,3962313.434599798,-2414447.0076159136,150.0
800.0,6701501.819386711,3962313.434599798,-2739188.384786913,150.0
850.0,7026243.196557712,3962313.434599798,-3063929.7619579136,150.0
900.0,7350984.573728711,3962313.434599798,-3388671.139128913,150.0
950.0,7675725.950899712,3962313.434599798,-3713412.5162999136,150.0
1000.0,8000467.328070711,3962313.434599798,-4038153.893470913,150.0
